T [C],RH [%],Short_wave_global [W/m2],,,,,,,,,,,,,,
8.68888,99.7637,0,,,,,,,,,,,,,,
8.81674,99.7472,0,,,,,,,,,,,,,,
9.20183,99.7205,0,,,,,,,,,,,,,,
9.60878,99.6368,0,,,,,,,,,,,,,,
9.8329,98.8406,0,,,,,,,,,,,,,,
9.8049,98.0793,0,,,,,,,,,,,,,,
9.59703,97.5719,0,,,,,,,,,,,,,,
9.22004,85.7447,0,,,,,,,,,,,,,,
8.3456,81.9768,0,,,,,,,,,,,,,,
8.21778,80.4251,0,,,,,,,,,,,,,,
7.70134,89.5936,0,,,,,,,,,,,,,,
7.73256,91.8691,9.26E-06,,,,,,,,,,,,,,
7.74186,90.9104,0.266946,,,,,,,,,,,,,,
8.26864,92.3616,2.61812,,,,,,,,,,,,,,
8.90461,92.86,6.35679,,,,,,,,,,,,,,
8.31007,99.6863,9.8477,,,,,,,,,,,,,,
8.81649,99.7706,12.5165,,,,,,,,,,,,,,
8.93575,99.6821,11.9884,,,,,,,,,,,,,,
8.836,99.4697,8.86007,,,,,,,,,,,,,,
9.68724,99.3782,5.02629,,,,,,,,,,,,,,
10.2237,99.5708,1.81131,,,,,,,,,,,,,,
10.2166,99.8437,0.349899,,,,,,,,,,,,,,
10.1268,99.837,0,,,,,,,,,,,,,,
10.0661,99.8111,0,,,,,,,,,,,,,,
10.0416,99.8435,0,,,,,,,,,,,,,,
9.86622,99.8243,0,,,,,,,,,,,,,,
9.79294,99.8414,0,,,,,,,,,,,,,,
8.42828,99.8299,0,,,,,,,,,,,,,,
7.7725,99.8015,0,,,,,,,,,,,,,,
7.072,99.7777,0,,,,,,,,,,,,,,
6.7462,99.7568,0,,,,,,,,,,,,,,
6.27096,99.7185,0,,,,,,,,,,,,,,
6.36149,99.6415,0,,,,,,,,,,,,,,
6.1384,99.5821,0,,,,,,,,,,,,,,
6.13662,99.5688,0,,,,,,,,,,,,,,
5.97759,99.4792,0.00144533,,,,,,,,,,,,,,
6.13124,99.1612,0.481825,,,,,,,,,,,,,,
6.29403,98.8002,8.20423,,,,,,,,,,,,,,
7.02288,98.0673,27.1408,,,,,,,,,,,,,,
8.44217,86.2508,51.1643,,,,,,,,,,,,,,
9.65552,82.7227,68.7403,,,,,,,,,,,,,,
10.1768,78.1295,67.4892,,,,,,,,,,,,,,
9.66154,79.0189,49.3127,,,,,,,,,,,,,,
9.05396,79.8861,31.7749,,,,,,,,,,,,,,
8.41624,80.9362,14.9965,,,,,,,,,,,,,,
8.19833,80.412,3.08796,,,,,,,,,,,,,,
7.83749,83.0929,0,,,,,,,,,,,,,,
7.67658,84.4922,0,,,,,,,,,,,,,,
7.79921,82.6884,0,,,,,,,,,,,,,,
7.93129,81.8782,0,,,,,,,,,,,,,,
7.96792,81.5617,0,,,,,,,,,,,,,,
7.95166,85.2841,0,,,,,,,,,,,,,,
7.9361,85.456,0,,,,,,,,,,,,,,
8.10361,83.0294,0,,,,,,,,,,,,,,
8.29293,87.8385,0,,,,,,,,,,,,,,
8.28359,90.0983,0,,,,,,,,,,,,,,
8.10178,97.496,0,,,,,,,,,,,,,,
8.2542,98.9584,0,,,,,,,,,,,,,,
8.55907,98.7377,0,,,,,,,,,,,,,,
8.80084,99.7064,5.87E-05,,,,,,,,,,,,,,
8.96847,99.7895,0.216532,,,,,,,,,,,,,,
9.07328,99.7794,1.64163,,,,,,,,,,,,,,
8.97085,99.7369,7.71319,,,,,,,,,,,,,,
8.2655,99.1513,21.1244,,,,,,,,,,,,,,
8.98205,98.0028,36.2409,,,,,,,,,,,,,,
10.0318,80.1297,50.8616,,,,,,,,,,,,,,
9.78551,80.833,48.5426,,,,,,,,,,,,,,
9.64832,79.2577,33.8363,,,,,,,,,,,,,,
8.65069,93.5697,13.8621,,,,,,,,,,,,,,
8.63504,93.2961,1.58578,,,,,,,,,,,,,,
8.84983,89.7266,0,,,,,,,,,,,,,,
9.0837,95.2617,0,,,,,,,,,,,,,,
9.50873,94.5607,0,,,,,,,,,,,,,,
9.86029,97.5947,0,,,,,,,,,,,,,,
10.4746,97.6306,0,,,,,,,,,,,,,,
10.9891,96.7067,0,,,,,,,,,,,,,,
11.4595,95.6811,0,,,,,,,,,,,,,,
11.457,99.4037,0,,,,,,,,,,,,,,
11.5608,99.6813,0,,,,,,,,,,,,,,
11.5397,98.7416,0,,,,,,,,,,,,,,
11.4434,96.9559,0,,,,,,,,,,,,,,
12.081,85.4024,0,,,,,,,,,,,,,,
11.4679,94.5565,0,,,,,,,,,,,,,,
11.4383,91.7446,0.000222359,,,,,,,,,,,,,,
11.5987,88.4817,0.262871,,,,,,,,,,,,,,
11.8071,84.7265,5.09244,,,,,,,,,,,,,,
12.6461,76.1947,16.2774,,,,,,,,,,,,,,
12.8956,78.7054,24.4622,,,,,,,,,,,,,,
13.1386,71.589,26.4452,,,,,,,,,,,,,,
13.1909,72.2402,25.3391,,,,,,,,,,,,,,
13.1377,73.4434,23.1356,,,,,,,,,,,,,,
13.1003,72.7032,23.2222,,,,,,,,,,,,,,
12.7125,70.2067,15.1291,,,,,,,,,,,,,,
12.6664,66.7135,2.3323,,,,,,,,,,,,,,
12.6229,68.0525,0,,,,,,,,,,,,,,
12.8744,67.9945,0,,,,,,,,,,,,,,
12.8745,63.3921,0,,,,,,,,,,,,,,
12.4746,68.3673,0,,,,,,,,,,,,,,
12.1159,74.4599,0,,,,,,,,,,,,,,
12.0236,76.516,0,,,,,,,,,,,,,,
11.9543,78.3206,0,,,,,,,,,,,,,,
11.6915,81.8348,0,,,,,,,,,,,,,,
11.6078,84.9359,0,,,,,,,,,,,,,,
11.3946,79.9209,0,,,,,,,,,,,,,,
11.5242,77.6192,0,,,,,,,,,,,,,,
11.2506,77.8238,0,,,,,,,,,,,,,,
11.3782,78.6692,0,,,,,,,,,,,,,,
11.5639,74.3163,0.000134216,,,,,,,,,,,,,,
11.7527,71.7384,0.221563,,,,,,,,,,,,,,
12.0833,69.6293,6.02779,,,,,,,,,,,,,,
12.4815,67.4376,23.1215,,,,,,,,,,,,,,
13.1913,64.3891,35.9299,,,,,,,,,,,,,,
13.4157,65.1647,38.6287,,,,,,,,,,,,,,
10.8003,96.0928,27.7036,,,,,,,,,,,,,,
10.1424,99.9049,13.3269,,,,,,,,,,,,,,
9.55899,99.9086,5.1807,,,,,,,,,,,,,,
8.73287,99.8737,1.55378,,,,,,,,,,,,,,
7.37992,99.8408,0.756075,,,,,,,,,,,,,,
6.57142,99.8159,0,,,,,,,,,,,,,,
5.88468,99.7951,0,,,,,,,,,,,,,,
5.82516,99.7685,0,,,,,,,,,,,,,,
5.33151,99.7083,0,,,,,,,,,,,,,,
5.0387,99.536,0,,,,,,,,,,,,,,
4.96014,99.5993,0,,,,,,,,,,,,,,
4.33639,99.558,0,,,,,,,,,,,,,,
4.14041,99.2771,0,,,,,,,,,,,,,,
4.34697,99.0512,0,,,,,,,,,,,,,,
4.74881,98.3162,0,,,,,,,,,,,,,,
4.59574,96.5624,0,,,,,,,,,,,,,,
5.03583,89.044,0,,,,,,,,,,,,,,
5.3138,84.4939,0,,,,,,,,,,,,,,
5.85134,78.3973,1.81E-05,,,,,,,,,,,,,,
6.63884,70.9477,0.197843,,,,,,,,,,,,,,
5.23571,97.9083,1.39804,,,,,,,,,,,,,,
5.31924,99.8169,3.90371,,,,,,,,,,,,,,
5.80972,99.7892,6.2282,,,,,,,,,,,,,,
6.37042,98.6432,8.19158,,,,,,,,,,,,,,
7.91506,84.3884,10.7173,,,,,,,,,,,,,,
8.47735,85.5725,9.80446,,,,,,,,,,,,,,
8.169,99.8541,5.82062,,,,,,,,,,,,,,
8.36078,99.9062,2.33792,,,,,,,,,,,,,,
9.57138,99.8932,0.388648,,,,,,,,,,,,,,
9.35652,99.8452,0,,,,,,,,,,,,,,
8.66614,99.8119,0,,,,,,,,,,,,,,
7.99644,99.7798,0,,,,,,,,,,,,,,
7.12731,99.7124,0,,,,,,,,,,,,,,
6.48045,98.223,0,,,,,,,,,,,,,,
7.1654,88.944,0,,,,,,,,,,,,,,
6.88561,96.7107,0,,,,,,,,,,,,,,
6.86708,88.4267,0,,,,,,,,,,,,,,
6.89904,87.1754,0,,,,,,,,,,,,,,
6.42724,89.4051,0,,,,,,,,,,,,,,
6.13227,91.4801,0,,,,,,,,,,,,,,
6.01345,91.8558,0,,,,,,,,,,,,,,
5.80739,93.1578,0,,,,,,,,,,,,,,
6.30424,92.0156,4.47E-05,,,,,,,,,,,,,,
6.67906,93.3655,0.396372,,,,,,,,,,,,,,
7.3726,91.9787,4.95509,,,,,,,,,,,,,,
8.06915,90.1057,14.9737,,,,,,,,,,,,,,
8.52496,90.4086,22.838,,,,,,,,,,,,,,
